latitude,longitude,activity_intensity
40.09111907579791,-73.92152015031,50
40.0106716456994,-73.95661084124468,89
40.003340640165945,-73.99617911803041,79
40.02744656504007,-73.90114104146039,80
40.05164002209712,-73.939518483324,27
40.076086803894235,-73.97971728631823,54
40.061228965015225,-73.96810556596795,90
40.03617394214031,-73.99832964739186,49
40.007915620697744,-73.9244730203839,11
40.01374372960307,-73.94458613040953,87
40.045269752265156,-73.90834954463158,25
40.055480088004494,-73.99959947488536,58
40.055361091430065,-73.95273616291524,63
40.05632070392907,-73.96449319335107,74
40.053105090511195,-73.90015026043324,86
40.06851405897564,-73.9421852983016,96
40.01024624014897,-73.91025188990837,21
40.07797570764724,-73.94907130375805,21
40.00342805921993,-73.90980389967757,88
40.0421035838258,-73.96930176751515,92
40.02220307288321,-73.96150192142312,63
40.08198021249475,-73.98556395713537,11
40.03168866027013,-73.99900290698055,23
40.03711414637021,-73.98580433114027,20
40.04313567792498,-73.94488719535485,12
40.001204273487595,-73.9769768636936,71
40.04779894861094,-73.96732046229981,84
40.07604588235587,-73.96814326592701,4
40.06256562368559,-73.98901608141658,58
40.03462405885614,-73.95623734590055,47
40.02389023421709,-73.96558767502594,31
40.00294111191688,-73.9616686229548,70
40.09675326089525,-73.92046981699032,32
40.023590330894386,-73.99462659593459,28
40.091098062491156,-73.99059664217853,38
40.03183154508778,-73.97669621368405,17
40.063250305373266,-73.91972404787238,59
40.0659253570904,-73.94149414753187,70
40.06672398593702,-73.9088134253285,28
40.04864944213335,-73.95187274386859,40
40.07274491736093,-73.90405904769463,67
40.01388771753406,-73.95611161852526,74
40.0603109805593,-73.96600215939631,30
40.038863837905126,-73.97956742203233,75
40.05236555277782,-73.95222329006545,25
40.07024750830023,-73.91121917121261,56
40.013117672683826,-73.95107429647629,45
40.09857368130961,-73.91366798717024,17
40.08398891084851,-73.96673111514086,40
40.05630093354356,-73.94899464261027,90
40.01760583714684,-73.96542126394404,76
40.09036038979455,-73.9802883296039,6
40.035965749602894,-73.99257683278817,68
40.01405578834168,-73.9939120867577,14
40.031078026636614,-73.92852614613373,87
40.055642454502895,-73.90567573303306,92
40.0952815392695,-73.92022128851062,70
40.0834078113157,-73.90159266849317,29
40.059582094020726,-73.91360875591414,16
40.08531159415759,-73.91459550468052,65
40.04996150514432,-73.99203098257115,31
40.07546570319917,-73.99496250362712,94
40.08592758212805,-73.98384147377186,52
40.023210349725396,-73.98702409432804,87
40.049823475687624,-73.9713481882104,87
40.00925671058951,-73.91768030279226,83
40.03577136547732,-73.90966419194919,56
40.04978790419037,-73.9636123896636,54
40.07986507880363,-73.97232947370192,55
40.09716896292519,-73.99114063795365,10
40.09093187901164,-73.9209735175652,86
40.00666193062566,-73.96404775543556,70
40.09511604090022,-73.91206135006948,5
40.09077205719428,-73.9187621346748,84
40.01958557276485,-73.92576709539411,96
40.075520443192275,-73.94971764689963,16
40.06102734595045,-73.92199439060573,58
40.08535432801735,-73.92893719228735,87
40.07493175390464,-73.95801716651259,82
40.01627180435535,-73.9891006458711,64
40.01856487785142,-73.9366185923775,8
40.00536504183662,-73.94983866659933,34
40.07883543611751,-73.92115105103788,5
40.0726376128309,-73.90148371458056,98
40.042139795215896,-73.9079019929151,33
40.0436304811734,-73.92141512254045,64
40.09821747761364,-73.97515638238242,44
40.05393394597273,-73.98285969099116,53
40.07692625070817,-73.93552858226168,85
40.05643718218229,-73.94451254835424,26
40.04086711140877,-73.98601786928775,97
40.06811562094461,-73.94113459780111,33
40.038072557991306,-73.92583103403602,33
40.03790966766926,-73.96134208603273,74
40.02684164696647,-73.96948053597305,59
40.07818262903445,-73.94279484912327,38
40.01429882939605,-73.97728213261738,71
40.070371177961235,-73.96499571555682,17
40.05854072134442,-73.97652265008828,22
40.08181029672332,-73.93021765386993,25
40.02470684588004,-73.95667833220357,81
40.00922151069953,-73.94381316093384,9
40.017564299844906,-73.94877459218999,9
40.01232947934243,-73.97374254725898,59
40.057904322830524,-73.94695157570914,86
40.04495029628395,-73.98976651051052,31
40.059762226339124,-73.96853068506276,52
40.06765166041201,-73.96964763696812,51
40.0069548205202,-73.9583866605927,45
40.075030337736905,-73.91939377177606,22
40.014271919664985,-73.97502620268641,43
40.044886991560325,-73.94296508454465,44
40.046823828373135,-73.91582452962123,76
40.00596904028539,-73.96147720861292,75
40.078699877067066,-73.92373162918462,20
40.092331543875716,-73.97979002890187,12
40.021006429889624,-73.96972156329464,42
40.0223794704664,-73.97359992241317,50
40.08146895702406,-73.92355215088467,99
40.03018301478439,-73.9120219052985,54
40.05512045244381,-73.92219869362907,66
40.00207000408634,-73.96392366062902,79
40.06975586692877,-73.94019721592944,39
40.085506017689546,-73.9492808267582,27
40.015240031190515,-73.91788830304222,48
40.00468142789039,-73.90190376832807,65
40.038665172983855,-73.92187077143326,27
40.09582525770492,-73.93104026271612,57
40.00162135939538,-73.97784988037434,50
40.01255823091014,-73.98193890799801,94
40.07137664630254,-73.9138878892903,28
40.03488367141759,-73.91076170185882,64
40.08680201357885,-73.95451587435005,84
40.02919779482117,-73.98730547958583,92
40.007155472552924,-73.98694893669817,19
40.01841781690868,-73.97447115648397,17
40.08580498703578,-73.95883637205611,44
40.01889104200214,-73.9795964512688,96
40.00139313488319,-73.9346764620339,26
40.017669251505104,-73.92245043422753,71
40.082088653496264,-73.93394104458574,71
40.09365372317764,-73.90947175632978,22
40.067200766847186,-73.92254143165066,26
40.05638601969138,-73.95320877316335,89
40.01356035210276,-73.98079183779178,75
40.022412082928085,-73.92383303805464,14
40.040150877300405,-73.91563067585373,74
40.070261483272255,-73.92572220321122,98
40.038832673522876,-73.94643295989691,75
40.07553887636455,-73.96318807359297,68
40.03679112056998,-73.99184413909008,27
40.01206058057709,-73.94445914445822,20
40.07711376768775,-73.96919520338498,63
40.02664890955691,-73.99066975770928,90
40.010002291190716,-73.99793360909315,85
40.09510348875777,-73.99741264527815,76
40.08515024140525,-73.96912231591517,9
40.017674178282064,-73.9327434470028,66
40.02600299243263,-73.96609024639066,92
40.08962540357289,-73.95966918983567,46
40.04241844578836,-73.94519082966008,51
40.046245609300385,-73.99947103156988,38
40.07662579417961,-73.9509299275183,31
40.06827000288797,-73.91344668560977,43
40.066867093141845,-73.91409386124693,46
40.095078055542984,-73.95534082405229,94
40.071519165183,-73.96391448634645,79
40.02113823294695,-73.91270553132198,41
40.0693303564584,-73.90439947446332,43
40.02304800304919,-73.94813951705993,36
40.02800924435905,-73.96764669899187,77
40.097298699601374,-73.91419956980785,89
40.0043531609285,-73.92908334010897,86
40.074999337366506,-73.94034423579727,8
40.05785410169542,-73.93516065320453,99
40.085240679811115,-73.94826157573449,48
40.02777452967846,-73.92155011366904,37
40.056620593736525,-73.93714474794741,99
40.059359508122185,-73.96234043947848,40
40.031777104797996,-73.90338145087208,35
40.049859321857575,-73.91117406783563,81
40.02807706378374,-73.92018438322837,88
40.08697771799107,-73.90319113647621,32
40.03097629209654,-73.97333833603864,45
40.06188253498699,-73.9611602156764,19
40.00293289671178,-73.97435602198638,19
40.06057154634354,-73.95067657764903,65
40.08064386780036,-73.90532883210129,52
40.02378961644522,-73.92607337441669,6
40.06004310984734,-73.97255303798084,93
40.06034729006569,-73.98175304244346,27
40.00410077205841,-73.90409964659356,39
40.09176938379603,-73.91935707831632,23
40.03457876601846,-73.95668507508242,42
40.094027968482024,-73.97307688767833,99
40.05071623931225,-73.97462592856235,32
40.042159166141396,-73.98696443174147,70
40.07354311164832,-73.91428774587538,40
40.06471008354138,-73.99168040983461,90
40.09467179142478,-73.98319318930135,44
40.02004894458889,-73.94164406608336,14
40.060733655345025,-73.94744419502943,41
40.03314273453382,-73.98531989583421,74
40.06091492831327,-73.90993833137033,88
40.03896952492535,-73.96413553433199,97
40.002779910706224,-73.98349286806176,22
40.089260477154596,-73.92467035476133,52
40.079036179551856,-73.92437192293117,2
40.046843223471065,-73.98122886803839,27
40.04926862477307,-73.96113843578999,49
40.05080937741166,-73.93069314714236,33
40.01043321633193,-73.96240493966224,16
40.07844940821605,-73.94127926527152,60
40.06916858993938,-73.98403056123296,90
40.0950360197959,-73.97414993990213,79
40.058364056489104,-73.90757254098746,28
40.01641087442944,-73.9883037326807,31
40.04619189090619,-73.9428918158898,5
40.01677246993922,-73.9243726329587,33
40.083336084528106,-73.99069415198595,61
40.0159234134019,-73.95698960241079,45
40.00448222009534,-73.97439188405724,32
40.033606224344105,-73.90639892151522,78
40.05033006699183,-73.9737643172124,48
40.08782645733832,-73.95511723031672,36
40.081819837579964,-73.96989059432661,3
40.033593291644486,-73.90916184766684,34
40.042433105735014,-73.94518265053678,60
40.02996154394664,-73.90163130902717,95
40.0185657174721,-73.95421611939653,43
40.09473770807161,-73.97898417612083,19
40.01504007938472,-73.9753338572716,46
40.05576665694304,-73.91333415780981,27
40.05349686878657,-73.94121749635256,100
40.00243350292775,-73.96207755073847,66
40.09137551410432,-73.99706402645774,51
40.00241666670763,-73.95975459850817,61
40.061773740309036,-73.93115598150904,17
40.087091228571545,-73.97778783923174,12
40.018791473555744,-73.99611915159633,37
40.061670106242396,-73.91927437994599,24
40.07729147497937,-73.99579740738055,13
40.064731977100706,-73.90513510659005,9
40.0737917917452,-73.9879463903002,55
40.091471315424165,-73.92519465808313,76
40.0476470285631,-73.99354162512421,38
40.02474165349557,-73.97175657010841,51
40.09971786976963,-73.92262280742652,75
40.07959682258312,-73.99211087793309,98
40.03865797236641,-73.9881839916387,19
40.08627131716047,-73.96292085836014,18
40.069891265212696,-73.91862606138399,2
40.05706542147569,-73.98437529050632,49
40.06082320060177,-73.92064078584461,23
40.01938393515567,-73.94899521197843,57
40.00054718168364,-73.93900599967925,55
40.05105072633982,-73.96717124644086,75
40.05632660071514,-73.92594865593223,35
40.092701572276795,-73.99959511601658,57
40.00352670324289,-73.91265032017388,62
40.042276839733105,-73.99590282585231,18
40.0601963309279,-73.90980627909705,73
40.05248930047077,-73.93039161764074,4
40.07358940148568,-73.97498609536987,51
40.07983998692882,-73.9169569658148,18
40.01011251150705,-73.97772238930013,84
40.089228563499645,-73.99418902020467,94
40.03805867181663,-73.98103115427588,82
40.008513702154666,-73.95411859621636,46
40.03012147916464,-73.92999346437792,14
40.0529768224309,-73.93809038811553,12
40.092645370316355,-73.96410748811073,4
40.02735403488249,-73.99736450788322,20
40.05509228047549,-73.94162600279367,58
40.02863852437779,-73.95207599540147,11
40.04230097834682,-73.97284543705322,15
40.063701998159466,-73.98358154683416,34
40.01178065332064,-73.92195232092804,89
40.094401711695355,-73.92626910743984,13
40.05976883518616,-73.94073526201757,35
40.05560338342365,-73.99160110640176,75
40.01895867376601,-73.96934416512532,73
40.01667554065291,-73.9414440419012,79
40.02547476719053,-73.9193478901411,7
40.006623138316584,-73.95039670677258,16
40.076730697939574,-73.9974710255291,43
40.03745811202237,-73.9332112485885,6
40.024863390826,-73.94431178561713,88
40.019912270027234,-73.90734346520286,35
40.05768105053312,-73.93909860128225,94
40.011268881231025,-73.90501122725988,53
40.060749177369416,-73.90295414695811,37
40.03617488082652,-73.94379394142034,100
40.04356550236801,-73.95917769607001,100
40.05086156488918,-73.90307932449878,100
40.0697167422988,-73.92228488782231,97
40.04771418438965,-73.93494169229992,19
40.06303575514257,-73.97980178642133,88
40.01244734178126,-73.93786642221134,75
40.070480295640564,-73.98831218684778,67
40.05827841507662,-73.98810647625322,88
40.020181688208275,-73.99781695759995,1
40.07436940154566,-73.95702060186986,60
40.066120238136975,-73.93118234947802,43
40.016160624699744,-73.97395164686168,41
40.0337145355119,-73.95142287014949,25
40.02190515458599,-73.94742402409643,58
40.087877824652246,-73.93207878487321,85
40.08886514586449,-73.95912276172875,18
40.0564466081429,-73.9329394402871,21
40.087890349019766,-73.97000648067532,52
40.03444073616085,-73.90942150974388,11
40.020823906373664,-73.94253266529931,76
40.055691756444936,-73.97253197282225,82
40.03285245303432,-73.99589567169869,99
40.04456136028063,-73.94342199954708,50
40.01740075075639,-73.94172308498825,68
40.053750522581645,-73.91625464043578,8
40.02469090530693,-73.9957725029464,94
40.087987542140674,-73.99875696900995,96
40.03411819609312,-73.92493867772619,17
40.022292420010004,-73.90564284715704,95
40.0137939653418,-73.9216494356636,87
40.009630103242614,-73.9819219902474,68
40.072245861370725,-73.9608207353946,10
40.06584914028439,-73.96127715434399,68
40.0539008795448,-73.98966727238239,97
40.02058235234647,-73.97668717104644,75
40.061748626953246,-73.90126226525184,99
40.09711123786802,-73.97964540853962,12
40.015206055963795,-73.9705775894199,33
40.090851519475315,-73.9442944626306,57
40.06893025765487,-73.95585265409099,87
40.01539678987364,-73.947807410674,74
40.000460591927435,-73.91574811634862,76
40.05515447508567,-73.98553595957009,68
40.03897355321467,-73.90741810252693,96
40.00210342443411,-73.98409787566963,10
40.06524110655859,-73.9620232153757,83
40.01217263914109,-73.9657827046964,73
40.03048436945435,-73.96741464043734,34
40.07153212853333,-73.96846114979047,49
40.0720668955554,-73.95553060714927,93
40.077431163384674,-73.93656813505892,16
40.01477795831461,-73.93677632712253,82
40.06298319219833,-73.96129275530674,39
40.098190693660634,-73.94300474958017,71
40.060230409155906,-73.94287234737108,2
40.05137897396524,-73.93128088263941,35
